timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1776112558834,200,-146,-3.2080078125000004E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558834,200,-138,-3.0322265625E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558834,200,-132,-2.900390625E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558845,200,-380,-8.349609375E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558845,200,-375,-8.23974609375E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558846,200,-370,-8.1298828125E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558846,200,-363,-7.97607421875E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558846,200,-358,-7.8662109375E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558846,200,-353,-7.75634765625E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558846,200,-347,-7.62451171875E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558862,200,-343,-7.53662109375E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558862,200,-339,-7.448730468750001E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558862,200,-332,-7.294921875E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558863,200,-329,-7.229003906250001E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558863,200,-325,-7.14111328125E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558863,200,-321,-7.053222656250001E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558863,200,-316,-6.943359375000001E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558863,200,-313,-6.87744140625E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558863,200,-310,-6.8115234375E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558879,200,-306,-6.723632812500001E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558879,200,-301,-6.613769531250001E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558880,200,-298,-6.5478515625E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558880,200,-296,-6.50390625E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558880,200,-294,-6.4599609375E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558880,200,-291,-6.39404296875E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558880,200,-286,-6.2841796875E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558880,200,-284,-6.240234375E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558880,200,-282,-6.1962890625E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558896,200,-279,-6.13037109375E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558897,200,-277,-6.0864257812500005E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558897,200,-275,-6.04248046875E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558897,200,-273,-5.998535156250001E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558898,200,-269,-5.9106445312499996E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558898,200,-267,-5.86669921875E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558898,200,-265,-5.82275390625E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558899,200,-264,-5.80078125E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558914,200,-262,-5.7568359375E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558915,200,-261,-5.73486328125E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558915,200,-259,-5.69091796875E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558915,200,-257,-5.64697265625E-5,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558915,200,0,0.0,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558916,200,1,2.197265625E-7,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
